Index,19,10,16,Query,Document
147,Relevant,Not Relevant,Not Relevant,Biking,Upstate NY/New England October 2018 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/upstate-ny-new-england-october-2018)
148,Not Relevant,Not Relevant,Not Relevant,Biking,"Spain, France Italy itinerary need advice - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/spain/spain-france-italy-itinerary-need-advice)"
149,Relevant,Not Relevant,Not Relevant,Biking,Solo Paris Traveller - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/france/solo-paris-traveller)
150,Relevant,Relevant,Relevant,Sushi,Good food in Paris that isn’t French - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/food-drink/good-food-in-paris-that-isn-t-french)
151,Relevant,Relevant,Not Relevant,Sushi,Restaurant recommendations around the Queens Theatre - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/england/restaurant-recommendations-around-the-queens-theatre)
152,Relevant,Not Relevant,Not Relevant,Sushi,Barcelona  Oct 24 - Nov 6  Trip Diary Part 3 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/barcelona-oct-24-nov-6-trip-diary-part-3)
153,Not Relevant,Not Relevant,Not Relevant,Sushi,London to Paris - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/france/london-to-paris-5390c50b-30fa-4b4e-bf1e-d07da53761de)
154,Not Relevant,Not Relevant,Not Relevant,Sushi,Changing train stations in Birmingham - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/england/changing-train-stations-in-birmingham)
155,Not Relevant,Not Relevant,Not Relevant,Sushi,Best place for family trip.... - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/best-place-for-family-trip)
156,Relevant,Relevant,Not Relevant,Sushi,"Why do many from a rich country say ""We enjoy food"" when  asking for travel advice? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/food-drink/why-do-many-from-a-rich-country-say-we-enjoy-food-when-asking-for-travel-advice)"
157,Not Relevant,Relevant,Not Relevant,Sushi,Cheese-free in Italy? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/cheese-free-in-italy)
158,Not Relevant,Not Relevant,Not Relevant,Sushi,Lufthansa Sues Missing Passenger - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/transportation/lufthansa-sues-missing-passenger)
159,Not Relevant,Relevant,Not Relevant,Sushi,Hostels and Hostely Accommodations in Japan? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/hostels-and-hostely-accommodations-in-japan)
160,Not Relevant,Not Relevant,Not Relevant,Nightlife,"Best of South Italy Tour--Vieste, Alberobello and Matera - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/tours/best-of-south-italy-tour-2019)"
161,Not Relevant,Relevant,Not Relevant,Nightlife,Stay in or cruise for St. Petersburg? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/russia/stay-in-or-cruise-for-st-petersburg).1
162,Not Relevant,Relevant,Not Relevant,Nightlife,Scotland trip  Budget - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/scotland/scotland-trip-budget)
163,Not Relevant,Not Relevant,Not Relevant,Nightlife,Extra day in Girona or Barcelona?  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/spain/extra-day-in-girona-or-barcelona)
164,Not Relevant,Relevant,Not Relevant,Nightlife,Copenhagen Trip in November - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/denmark/copenhagen-trip-in-november)
165,Not Relevant,Relevant,Not Relevant,Nightlife,Best destination for 2 19 year-old boys first time solo travelers for a week - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/best-destination-for-2-19-year-old-boys-first-time-solo-travelers-for-a-week)
166,Relevant,Relevant,Not Relevant,Nightlife,Looking for Unique Experiences/Tours  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/looking-for-unique-experiences-tours)
167,Relevant,Relevant,Not Relevant,Nightlife,Suggestions for best islands to visit in November - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/suggestions-for-best-islands-to-visit-in-november)
168,Not Relevant,Not Relevant,Not Relevant,Nightlife,Rome Neighborhoods - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/rome-neighborhoods-e6c4966c-932e-43bf-a580-f7d6536e6a01)
169,Relevant,Not Relevant,Not Relevant,Nightlife,2-week German Itinerary by car - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/2-week-german-itinerary-by-car)
170,Relevant,Relevant,Not Relevant,Beaches,"We need your help on our itinerary. Going to Spain, France and Italy on Sept 21 for 28 days - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/we-need-your-help-on-our-itinerary-going-to-spain-france-and-italy-on-sept-21-for-28-days)"
171,Relevant,Relevant,Not Relevant,Beaches,Travel to Capri from Praiano - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/travel-to-capri-from-praiano)
172,Not Relevant,Not Relevant,Not Relevant,Beaches,Claudia’s UK Adventures - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/claudia-s-uk-adventures).5
173,Relevant,Relevant,Not Relevant,Beaches,Venice to Sicily - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/venice-to-sicily-eacd4054-c6a3-4d50-b194-a5781b1124f2).1
174,Not Relevant,Not Relevant,Not Relevant,Beaches,Suggestions on outdoorsy mother/teen daughter trip? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/suggestions-on-outdoorsy-mother-teen-daughter-trip).3
175,Not Relevant,Not Relevant,Not Relevant,Beaches,Transportation from Naples to Positano - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/transportation-from-naples-to-positano)
176,Not Relevant,Not Relevant,Relevant,Beaches,Seville & Madrid  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/spain/seville-madrid).1
177,Relevant,Relevant,Not Relevant,Beaches,French Rivera in 11 days - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/france/french-rivera-in-11-days)
178,Relevant,Not Relevant,Not Relevant,Beaches,"Travel to Italy, Spain and Portugal in Winter? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/portugal/travel-to-italy-spain-and-portugal-in-winter)"
179,Relevant,Relevant,Not Relevant,Beaches,"Drivers/Tours on Amalfi Coast, and Where to Stay Near Pompeii/Herculaneum/Vesuvius? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/drivers-tours-on-amalfi-coast-and-where-to-stay-near-pompeii-herculaneum-vesuvius)"
180,Not Relevant,Not Relevant,Not Relevant,Eating out,Neuschwanstein Castle - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/neuschwanstein-castle-187b138b-48c6-48b9-810c-a48b6ec1e719).1
181,Not Relevant,Not Relevant,Not Relevant,Eating out,Shannon to Dingle Route by Car - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/ireland/shannon-to-dingle-route-by-car)
182,Not Relevant,Relevant,Not Relevant,Eating out,Inverness - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/scotland/inverness-4f239a35-72c9-40e4-a508-fa571097cc14).1
183,Relevant,Relevant,Relevant,Eating out,Christmas Lunch in London 2018 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/england/christmas-lunch-in-london-2018).2
184,Not Relevant,Not Relevant,Not Relevant,Eating out,Claudia’s UK Adventures - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/claudia-s-uk-adventures).6
185,Relevant,Relevant,Relevant,Eating out,Restaurant recommendations for the Pantheon area in Rome - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/restaurant-recommendations-for-the-pantheon-area-in-rome).1
186,Not Relevant,Not Relevant,Not Relevant,Eating out,Vatican Museum security - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/vatican-museum-security).1
187,Relevant,Relevant,Not Relevant,Eating out,4 1/2 Days in Rome - what would you do? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/4-1-2-days-in-rome-what-would-you-do).1
188,Not Relevant,Relevant,Not Relevant,Eating out,Best of Paris 7days - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/tours/best-of-paris-7days).1
189,Not Relevant,Not Relevant,Not Relevant,Eating out,Suggestions on outdoorsy mother/teen daughter trip? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/suggestions-on-outdoorsy-mother-teen-daughter-trip).4
190,Not Relevant,Not Relevant,Not Relevant,Art,Claudia’s UK Adventures - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/claudia-s-uk-adventures).7
191,Not Relevant,Not Relevant,Not Relevant,Art,Trip to England in June 2019 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/england/trip-to-england-in-june-2019).1
192,Relevant,Relevant,Relevant,Art,France - History and Art - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/books-movies/france-history-and-art).1
193,Relevant,Relevant,Relevant,Art,Italy too much to see!  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/italy-too-much-to-see).1
194,Relevant,Not Relevant,Not Relevant,Art,Keep trying new places or stick with what you know works - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/keep-trying-new-places-or-stick-with-what-you-know-works).2
195,Not Relevant,Relevant,Not Relevant,Art,Non Alcoholic trip? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/food-drink/non-alcoholic-trip).2
196,Not Relevant,Not Relevant,Relevant,Art,"Oh, to be in London! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/oh-to-be-in-london).1"
197,Not Relevant,Not Relevant,Not Relevant,Art,Europe from Brussels to Venice and more - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/europe-from-brussels-to-venice-and-more).1
198,Not Relevant,Not Relevant,Not Relevant,Art,Stay in or cruise for St. Petersburg? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/russia/stay-in-or-cruise-for-st-petersburg).2
199,Not Relevant,Not Relevant,Not Relevant,Art,First time in Italy- what are some must buys? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/first-time-in-italy-what-are-some-must-buys).2
